Mon-10-Aug-Visitation,VISIT,Vice-Chancellor Inspects Venues of the Aptitude Test for the University's Recruitment exercise,"Monday, 10 August: Vice-Chancellor Inspects Venues of the Aptitude Test for the University's Recruitment exercise. The week began with the Vice-Chancellor, Professor Hakeem Babatunde Fawehinmi, inspecting venues of the University's recruitment aptitude test Monday morning to ensure that all necessary arrangements were in place for a smooth and successful exercise. Professor Fawehinmi who interacted with the ICT team, assured the applicants of the University's commitment to a transparent and merit-based recruitment process.",8/10/2026,PUBLIC,yes
Mon-10-Aug-FC,FACULTY,Courtesy visit by the University Management to the Federal Character Commission,"The Vice-Chancellor, Professor Hakeem Babatunde Fawehinmi, led members of the University management on a visit to the Federal Character Commission, where he assured the Commission of the commitment of the University to conduct the ongoing staff recruitment exercise in accordance with the law and the principles of federal character, while ensuring fairness and transparency.",8/10/2026,PUBLIC,yes
Mon-10-Aug-FRSC,PARTNERSHIP,FRSC Gwagwalada Unit Seeks Stronger Partnership with University,"The Federal Road Safety Corps (FRSC), Gwagwalada Unit Command, led by the Unit Commander, Assistant Corps Commander Uche Amaku, paid a courtesy visit to the Vice-Chancellor to strengthen the existing partnership between the Corps and the University. The Vice-Chancellor expressed appreciation for the longstanding support of the FRSC to the University, particularly during major events and traffic management operations.",8/10/2026,PUBLIC,yes
Tue-11-Aug-ML,VISIT,Courtesy Visit by the Guild of Medical Laboratory Directors,"Guild of Medical Laboratories Directors FCT Branch, Visited the Campus ahead of its National Conference slated for 15 September in Abuja. The delegation led by its Chairman, Benson Obiageli, expressed the Guild's interest in partnering with the University particularly in areas of collaborative research, professional development, student mentorship, practical training and knowledge exchange. The Vice-Chancellor assured the Guild of the University's support, highlighting potential areas of collaboration between the Guild, the University, and the Teaching Hospital to include student industrial training, research, practical exposure and mentorship.",8/11/2026,PUBLIC,yes
Tue-11-Aug-Law,COURTESY,Executive Committee of Nigeria Association of Law Teachers Lauds Fawehinmi's Leadership Style,"The Nigerian Association of Law Teachers (NALT), has commended the University of Abuja for its support towards the successful hosting of the association's 56th Annual Conference held on the Main campus last year. The commendation came during a courtesy visit led by the Chairman of NALT's Board of Trustees, Professor Ademola Popoola, and National President, Professor John Oluwole Akintayo. NALT leadership described the hosting by the University's Faculty of Law as one of the best in the association's history.",8/11/2026,PUBLIC,yes
Tue-11-Aug-Cyber,PARTNERSHIP,Nigerian Army Cyber Warfare School Opens Talks on Partnership,"The University of Abuja and the Nigerian Army Cyber Warfare School, Giri are set to strengthen collaboration in cybersecurity training, research and practical learning. The Commandant of the School, Brigadier General J.H. Bawa led a delegation on a courtesy visit to the University, noting that the proposed partnership will provide opportunities for University of Abuja students to gain hands-on experience in the School's cybersecurity laboratories. Receiving the delegation, the Vice-Chancellor, Professor Hakeem Babatunde Fawehinmi, described the partnership as timely and mutually beneficial. He said the University is ready to support the completion of the proposed MoU, with areas of collaboration including staff and student exchanges, specialised training, experiential learning, joint research and the development of research hubs.",8/11/2026,PUBLIC,yes
Wed-12-Aug-Partner,ADMIN,Management to Strengthen Partnership with the Ministeries of Works and Power,"The Vice-Chancellor, Professor Hakeem Babatunde Fawehinmi, paid courtesy visits to the Honourable Minister of Works, David Umahi, and his Ministry of Power, counterpart, Chief Joseph Tegbe, to further deepen the University's partnership with the ministeries, and seek support for the University's Infrastructure development. Both ministers expressed their willingness to support the University within their respective mandates.",8/12/2026,PUBLIC,yes
Thu-13-Aug-SSANU,EVENT,"SSANU Organises 2nd University of Abuja SSANU Women Conference, Unveil Welfare Scheme","The Senior Staff Association of Nigerian Universities (SSANU), University of Abuja Branch, Women Wing held its 2nd annual conference during the week. The Conference with the theme, 'Rising Beyond Limits: Women Leading with Purpose and Resilience,' was declared open by the Vice-Chancellor, Professor Hakeem Babatunde Fawehinmi, who commended the organisers for promoting initiatives that celebrate and empower women within the University community. The Bursar, Dr Shiva Rae M'ovul Kondoun presented the keynote address at the event where deserving members of the union were honoured for their commitment and contributions to the growth of the SSANU and the University community.",8/13/2026,PUBLIC,yes
Thu-13-Aug-NYWA,ORGANIZATION,Nigerian Youth Workers Association Visits University of Abuja,"The Nigerian Youth Workers Association (NYWA), led by its President, Sir Ben Duntoye, visited the University to strengthen collaboration on the professionalisation of youth work and the Commonwealth postgraduate programme in Youth Development. The President disclosed plans to collaborate with the University on activities marking International Youth Work Day. The Vice-Chancellor, Professor Hakeem Babatunde Fawehinmi emphasised the need for professionally trained youth workers to address emerging challenges and harness the potential of Nigeria's growing youth population.",8/13/2026,PUBLIC,yes
Fri-14-Aug-Islamic,VISIT,Courtesy Visit by the Vice-Chancellor to Islamic World League,"The Vice-Chancellor paid a courtesy visit to the President of the Islamic World League at the Residence of the Ambassador of the Kingdom of Saudi Arabia, seeking support and collaboration in areas including Information and Communication Technology (ICT), student and staff development, hostel infrastructure, professional staff training, scholarships and academic exchanges.",8/14/2026,PUBLIC,yes
